Date,Area,DataSeries,OBS_Value
2007-09-01,IT,Lead_zinc_tin_prod,94.9
2007-08-01,IT,Lead_zinc_tin_prod,112.6
2007-07-01,IT,Lead_zinc_tin_prod,134.7
2007-06-01,IT,Lead_zinc_tin_prod,140.6
2007-05-01,IT,Lead_zinc_tin_prod,154.8
2007-04-01,IT,Lead_zinc_tin_prod,139.8
2007-03-01,IT,Lead_zinc_tin_prod,178.4
2007-02-01,IT,Lead_zinc_tin_prod,133.0
2007-01-01,IT,Lead_zinc_tin_prod,160.8
2006-12-01,IT,Lead_zinc_tin_prod,124.6
2006-11-01,IT,Lead_zinc_tin_prod,152.1
2006-10-01,IT,Lead_zinc_tin_prod,180.7
2006-09-01,IT,Lead_zinc_tin_prod,82.1
2006-08-01,IT,Lead_zinc_tin_prod,93.5
2006-07-01,IT,Lead_zinc_tin_prod,95.7
2006-06-01,IT,Lead_zinc_tin_prod,128.8
2006-05-01,IT,Lead_zinc_tin_prod,157.9
2006-04-01,IT,Lead_zinc_tin_prod,150.4
2006-03-01,IT,Lead_zinc_tin_prod,149.5
2006-02-01,IT,Lead_zinc_tin_prod,139.8
2006-01-01,IT,Lead_zinc_tin_prod,176.7
2005-12-01,IT,Lead_zinc_tin_prod,136.8
2005-11-01,IT,Lead_zinc_tin_prod,147.4
2005-10-01,IT,Lead_zinc_tin_prod,152.1
2005-09-01,IT,Lead_zinc_tin_prod,170.1
2005-08-01,IT,Lead_zinc_tin_prod,138.0
2005-07-01,IT,Lead_zinc_tin_prod,153.5
2005-06-01,IT,Lead_zinc_tin_prod,155.9
2005-05-01,IT,Lead_zinc_tin_prod,169.2
2005-04-01,IT,Lead_zinc_tin_prod,149.5
2005-03-01,IT,Lead_zinc_tin_prod,154.0
2005-02-01,IT,Lead_zinc_tin_prod,192.7
2005-01-01,IT,Lead_zinc_tin_prod,240.0
2004-12-01,IT,Lead_zinc_tin_prod,195.3
2004-11-01,IT,Lead_zinc_tin_prod,215.5
2004-10-01,IT,Lead_zinc_tin_prod,233.3
2004-09-01,IT,Lead_zinc_tin_prod,260.7
2004-08-01,IT,Lead_zinc_tin_prod,203.8
2004-07-01,IT,Lead_zinc_tin_prod,254.3
2004-06-01,IT,Lead_zinc_tin_prod,140.3
2004-05-01,IT,Lead_zinc_tin_prod,135.2
2004-04-01,IT,Lead_zinc_tin_prod,123.1
2004-03-01,IT,Lead_zinc_tin_prod,17.8
2004-02-01,IT,Lead_zinc_tin_prod,16.5
2004-01-01,IT,Lead_zinc_tin_prod,15.5
2003-12-01,IT,Lead_zinc_tin_prod,10.4
2003-11-01,IT,Lead_zinc_tin_prod,15.3
2003-10-01,IT,Lead_zinc_tin_prod,94.2
2003-09-01,IT,Lead_zinc_tin_prod,171.3
2003-08-01,IT,Lead_zinc_tin_prod,144.5
2003-07-01,IT,Lead_zinc_tin_prod,209.3
2003-06-01,IT,Lead_zinc_tin_prod,215.5
2003-05-01,IT,Lead_zinc_tin_prod,229.7
2003-04-01,IT,Lead_zinc_tin_prod,207.5
